country;gender;key;2013_up_sec_edu_perc;2014_up_sec_edu_perc;2015_up_sec_edu_perc;2016_up_sec_edu_perc;2017_up_sec_edu_perc;2018_up_sec_edu_perc;2019_up_sec_edu_perc;2020_up_sec_edu_perc;2021_up_sec_edu_perc;2022_up_sec_edu_perc;2023_up_sec_edu_perc;2024_up_sec_edu_perc;2013_pop;2014_pop;2015_pop;2016_pop;2017_pop;2018_pop;2019_pop;2020_pop;2021_pop;2022_pop;2023_pop;2024_pop;2013_up_sec_edu_tot;2014_up_sec_edu_tot;2015_up_sec_edu_tot;2016_up_sec_edu_tot;2017_up_sec_edu_tot;2018_up_sec_edu_tot;2019_up_sec_edu_tot;2020_up_sec_edu_tot;2021_up_sec_edu_tot;2022_up_sec_edu_tot;2023_up_sec_edu_tot;2024_up_sec_edu_tot
Slovenia;Males;Slovenia_Males;0.86;0.87;0.88;0.89;0.89;0.89;0.89;0.91;0.92;0.91;0.89;0.89;612776;612657;610026;605634;602227;597599;599758;603055;603736;597344;596691;596747;528213;533624;536823;536592;535380;530668;535584;549383;553022;545375;530458;532895
Slovenia;Total;Slovenia_Total;0.86;0.86;0.87;0.87;0.88;0.88;0.89;0.90;0.91;0.91;0.89;0.89;1192644;1191433;1186469;1178542;1171055;1160811;1159353;1159237;1157926;1147206;1144538;1141815;1019711;1021058;1029855;1028867;1029357;1022674;1029505;1045632;1057186;1043957;1012916;1016215
Spain;Females;Spain_Females;0.58;0.58;0.60;0.61;0.62;0.63;0.64;0.66;0.67;0.67;0.68;0.68;13295618;13189226;13131710;13110913;13109158;13125761;13185624;13277700;13291922;13267582;13417510;13527016;7644980;7702508;7826499;7984546;8088350;8269229;8478356;8750004;8879004;8876012;9056819;9211898
Spain;Males;Spain_Males;0.53;0.55;0.55;0.56;0.57;0.57;0.58;0.60;0.60;0.60;0.61;0.62;13472866;13314963;13228611;13182924;13159206;13148088;13190948;13274912;13288930;13262151;13377064;13486305;7194510;7296600;7315422;7342889;7434951;7520706;7690323;7938397;7986647;8010339;8133255;8321050
Spain;Total;Spain_Total;0.56;0.57;0.57;0.58;0.59;0.60;0.61;0.63;0.63;0.64;0.64;0.65;26768484;26504189;26360321;26293837;26268364;26273849;26376572;26552612;26580852;26529733;26794574;27013321;14856509;15001371;15130824;15329307;15524603;15790583;16168839;16701593;16852260;16899440;17202117;17531645
Sweden;Females;Sweden_Females;0.84;0.85;0.86;0.86;0.86;0.87;0.88;0.88;0.88;0.90;0.90;0.91;2408784;2421477;2440112;2464755;2499867;2532975;2562001;2587219;2599311;2612265;2625317;2629952;2020970;2050991;2086296;2114760;2154885;2201155;2244313;2266404;2297791;2343202;2365411;2385366
Sweden;Males;Sweden_Males;0.83;0.83;0.83;0.84;0.85;0.85;0.85;0.85;0.87;0.87;0.87;0.87;2475187;2489512;2513561;2542972;2587644;2624687;2655638;2683574;2698060;2713006;2731672;2738876;2042029;2061316;2091283;2143725;2186559;2217861;2249325;2291772;2336520;2357602;2368360;2374605
Sweden;Total;Sweden_Total;0.83;0.84;0.84;0.85;0.85;0.86;0.86;0.87;0.88;0.88;0.88;0.89;4883971;4910989;4953673;5007727;5087511;5157662;5217639;5270793;5297371;5325271;5356989;5368828;4063464;4110498;4175946;4256568;4339647;4414959;4492387;4559236;4635200;4702214;4735578;4762150
Switzerland;Females;Switzerland_Females;0.84;0.86;0.86;0.86;0.86;0.87;0.88;0.88;0.86;0.85;0.85;0.85;2235614;2261370;2287671;2312079;2335368;2353624;2368383;2382612;2398506;2411583;2428356;2468250;1882387;1935733;1962822;1983764;2017758;2057067;2086545;2103846;2072309;2049846;2073816;2107886
Switzerland;Males;Switzerland_Males;0.89;0.89;0.89;0.89;0.89;0.89;0.90;0.90;0.88;0.87;0.87;0.87;2263433;2293042;2322365;2348444;2374122;2390938;2405940;2420920;2437642;2451389;2472101;2504955;2005402;2038514;2059938;2090115;2117717;2137499;2162940;2183670;2152438;2130257;2153200;2176806
Switzerland;Total;Switzerland_Total;0.86;0.87;0.87;0.87;0.88;0.88;0.89;0.89;0.87;0.86;0.86;0.86;4499047;4554412;4610036;4660523;4709490;4744562;4774323;4803532;4836148;4862972;4900457;4973205;3887177;3971447;4024561;4073297;4134932;4194193;4249147;4289554;4221957;4182156;4229094;4286903
Turkiye;Females;Turkiye_Females;0.26;0.26;0.28;0.30;0.31;0.32;0.34;0.36;0.37;0.39;0.41;0.43;19130805;19490914;19797129;20093900;20487513;20811333;21185416;21559189;21691159;22100126;22435038;22607164;4916617;5145601;5523399;5947794;6289666;6618004;7097114;7675071;8069111;8663249;9265671;9743688
Turkiye;Males;Turkiye_Males;0.38;0.39;0.40;0.42;0.42;0.43;0.44;0.46;0.47;0.49;0.51;0.52;19365756;19743696;20061002;20366027;20761031;21087222;21476537;21877064;22007661;22387771;22707918;22858735;7378353;7640810;8084584;8472267;8740394;9067505;9514106;10019695;10365608;10947620;11512914;11932260
Turkiye;Total;Turkiye_Total;0.32;0.33;0.34;0.36;0.36;0.37;0.39;0.41;0.42;0.44;0.46;0.48;38496561;39234610;39858131;40459927;41248544;41898555;42661953;43436253;43698820;44487897;45142956;45465899;12280403;12790483;13631481;14403734;15014470;15670060;16595500;17678555;18440902;19574675;20765760;21641768
UnitedKingdom;Females;UnitedKingdom_Females;0.77;0.78;0.79;0.79;0.80;0.81;0.82;;;;;;16881848;16939527;17030089;17143861;17258839;17358700;17446221;;;;;;13032787;13212831;13453770;13595082;13824330;14043188;14236116;;;;;
UnitedKingdom;Males;UnitedKingdom_Males;0.80;0.80;0.80;0.80;0.80;0.80;0.81;;;;;;16548635;16604421;16704018;16843148;16969342;17077737;17156329;;;;;;13156165;13349954;13413326;13440832;13592443;13645112;13828001;;;;;
UnitedKingdom;Total;UnitedKingdom_Total;0.78;0.79;0.80;0.80;0.80;0.80;0.81;;;;;;33430483;33543948;33734107;33987009;34228181;34436437;34602550;;;;;;26176068;26566807;26886083;27019672;27416773;27686895;28062668;;;;;
